team_id,database,fb_ref
1,AFC Bournemouth,Bournemouth
2,Arsenal FC,Arsenal
3,Aston Villa,Aston Villa
10,Brentford FC,Brentford
11,Brighton & Hove Albion,Brighton
12,Burnley FC,Burnley
15,Chelsea FC,Chelsea
17,Crystal Palace,Crystal Palace
19,Everton FC,Everton
20,Fulham FC,Fulham
26,Liverpool FC,Liverpool
27,Manchester City,Manchester City
28,Manchester United,Manchester Utd
30,Newcastle United,Newcastle Utd
32,Nottingham Forest,Nott'ham Forest
37,Sheffield United,Sheffield Utd
44,Tottenham Hotspur,Tottenham
47,West Ham United,West Ham
50,Wolverhampton Wanderers,Wolves
51,Luton Town,Luton Town
